Scenario 1
Density, Time lapsed
0.05, 0.0037420655
0.10, 0.0021655317
0.15, 0.0009111707
0.20, 0.0008141037
0.25, 0.0015358427
0.30, 0.0006988251
0.35, 0.0007471016
0.40, 0.0010188647
0.45, 0.0012681486
0.50, 0.0013941339
0.55, 0.0006825880
0.60, 0.0006460051
0.65, 0.0006595164
0.70, 0.0005869040
0.75, 0.0005440792
0.80, 0.0004869926
0.85, 0.0005136596
0.90, 0.0004709532
0.95, 0.0006360102
1.00, 0.0006896992
Scenario 2
Density, Time lapsed
0.05, 0.0109971400
0.10, 0.0091510557
0.15, 0.0092553518
0.20, 0.0098451792
0.25, 0.0107134462
0.30, 0.0107066513
0.35, 0.0108336240
0.40, 0.0092534951
0.45, 0.0098763890
0.50, 0.0121486271
0.55, 0.0116203107
0.60, 0.0096103542
0.65, 0.0116697327
0.70, 0.0099073618
0.75, 0.0092887348
0.80, 0.0114842910
0.85, 0.0098723200
0.90, 0.0124850223
0.95, 0.0100301867
1.00, 0.0129349977
Scenario 3
Density, Time lapsed
0.05, 0.0011797337
0.10, 0.0005850475
0.15, 0.0006078028
0.20, 0.0004408098
0.25, 0.0004295114
0.30, 0.0004538473
0.35, 0.0011483661
0.40, 0.0004630521
0.45, 0.0005296197
0.50, 0.0004753383
0.55, 0.0004858470
0.60, 0.0004721781
0.65, 0.0004928789
0.70, 0.0005294224
0.75, 0.0005920398
0.80, 0.0005232990
0.85, 0.0004786570
0.90, 0.0004434966
0.95, 0.0003339063
1.00, 0.0005301334
